,a,b,c,d,e,tess,Truth
2030,began,to,redlrect,1:5,efforts,redlrect,redirect
2031,to,redlrect,1:5,efforts,to,1:5,its
2051,15,a,contnulng,need,for,contnulng,continuing
2055,for,people,mm,a,chemlcal,mm,with
2057,mm,a,chemlcal,background,"but,",chemlcal,chemical
2064,"know,",the,ap*,pllcatlon,of,ap*,ap­
2065,the,ap*,pllcatlon,of,thelr,pllcatlon,plication
2067,pllcatlon,of,thelr,educatlon,and,thelr,their
2068,of,thelr,educatlon,and,training,educatlon,education
2071,and,training,mlght,not,confom,mlght,might
2073,mlght,not,confom,to,the,confom,conform
2076,to,the,tradltlonal,and,academlc,tradltlonal,traditional
2078,tradltlonal,and,academlc,mags,of,academlc,academic
2079,and,academlc,mags,of,the,mags,image
2082,of,the,charms:,or,chemlcal,charms:,chemist
2084,charms:,or,chemlcal,englneer.,The,chemlcal,chemical
2085,or,chemlcal,englneer.,The,subcommlttee,englneer.,engineer.
2087,englneer.,The,subcommlttee,encourages,those,subcommlttee,subcommittee
2090,encourages,those,m:,partlcular,ability,m:,with
2091,those,m:,partlcular,ability,and,partlcular,particular
2094,ability,and,1nterest,1n,chemlstry,1nterest,interest
2095,and,1nterest,1n,chemlstry,to,1n,in
2096,1nterest,1n,chemlstry,to,a,chemlstry,chemistry
2100,a,career,1n,R,L,1n,in
2108,most,n,"1ndustry,",the,translatlon,"1ndustry,","industry,"
2110,"1ndustry,",the,translatlon,of,theoretlcal,translatlon,translation
2112,translatlon,of,theoretlcal,1nfomatlon,1nto,theoretlcal,theoretical
2113,of,theoretlcal,1nfomatlon,1nto,practlcal,1nfomatlon,information
2114,theoretlcal,1nfomatlon,1nto,practlcal,realltles,1nto,into
2115,1nfomatlon,1nto,practlcal,realltles,such,practlcal,practical
2116,1nto,practlcal,realltles,such,"35—m1n15tratlon,",realltles,realities
2127,publlc,re*,latlons,-flnes,...where,latlons,lations
2128,re*,latlons,-flnes,...where,the,-flnes,defines
2129,latlons,-flnes,...where,the,actlon,...where,“where
2131,...where,the,actlon,"15.""","Consequently,",actlon,action
2132,the,actlon,"15.""","Consequently,",an,"15.""","is."""
2135,"Consequently,",an,educatlon,should,be,educatlon,education
2138,should,be,dlrected,m,the,dlrected,directed
2153,1nterests,and,skllls,o-,the,skllls,skills
2154,and,skllls,o-,the,student.,o-,of
2158,student.,Several,xperlmental,career,booklets,xperlmental,experimental
2175,students,and,admlnlstrators,who,requested,admlnlstrators,administrators
2178,who,requested,Copies.,A,new,Copies.,copies.
2182,new,edition,.5,the,booklet,.5,of
2187,Will,be,dlstrlbuted,early,next,dlstrlbuted,distributed
2191,next,"year,",1ncorporat1ng,many,helpful,1ncorporat1ng,incorporating
2194,many,helpful,suggestl,n5,recelved,suggestl,suggesti
2195,helpful,suggestl,n5,recelved,from,n5,ns
2196,suggestl,n5,recelved,from,teachers,recelved,received
2234,educators,and,studnts.,Durlng,the,studnts.,students.
2235,and,studnts.,Durlng,the,197171972,Durlng,During
2237,Durlng,the,197171972,flscal,"year,",197171972,1971-1972
2238,the,197171972,flscal,"year,",for,flscal,fiscal
2260,you,Will,"agre,",to,be,"agre,","agree,"
2268,rather,than,unwittlng,Victims,of,unwittlng,unwitting
2271,Victims,of,1:.,Th1:,subommlttee,1:.,it.
2272,of,1:.,Th1:,subommlttee,also,Th1:,This
2273,1:.,Th1:,subommlttee,also,55515::,subommlttee,subcommittee
2275,subommlttee,also,55515::,and,encourages,55515::,assists
2279,encourages,the,1ncreased,number,of,1ncreased,increased
2285,who,elect,chmlstry,as,a,chmlstry,chemistry
2293,as,a,foundatlon,for,careers,foundatlon,foundation
2296,for,careers,1n,flelds,such,1n,in
2297,careers,1n,flelds,such,as,flelds,fields
2300,such,as,"edlclne,",law,and,"edlclne,","medicine,"
2303,law,and,marketlng,whlch,have,marketlng,marketing
2304,and,marketlng,whlch,have,competlng,whlch,which
2306,whlch,have,competlng,clalms,on,competlng,competing
2307,have,competlng,clalms,on,technlcallytralned,clalms,claims
2309,clalms,on,technlcallytralned,men,and,technlcallytralned,technicallytrained
2315,CHEMICAL,EDUCATION,smacomamm,Th1:,gro,smacomamm,SUBCOMMITTEE
2334,acceptance,among,academlc,chemlsts,durlng,academlc,academic
2335,among,academlc,chemlsts,durlng,the,chemlsts,chemists
2336,academlc,chemlsts,durlng,the,past,durlng,during
2371,"year,",we,collabor.ted.,by,"1nv1tatlon,",collabor.ted.,"collaborated,"
2373,collabor.ted.,by,"1nv1tatlon,",mm,the,"1nv1tatlon,","invitation,"
2374,by,"1nv1tatlon,",mm,the,Natlonal,mm,with
2376,mm,the,Natlonal,Sclence,Foundatlon,Natlonal,National
2377,the,Natlonal,Sclence,Foundatlon,1n,Sclence,Science
2378,Natlonal,Sclence,Foundatlon,1n,the,Foundatlon,Foundation
2379,Sclence,Foundatlon,1n,the,prellmlnary,1n,in
2381,1n,the,prellmlnary,plannlng,and,prellmlnary,preliminary
2382,the,prellmlnary,plannlng,and,1mplementatlon,plannlng,planning
2384,plannlng,and,1mplementatlon,of,a,1mplementatlon,implementation
2388,a,new,educatlonal,program,1n,educatlonal,educational
2390,educatlonal,program,1n,whlch,1ndustry,1n,in
2391,program,1n,whlch,1ndustry,and,whlch,which
2392,1n,whlch,1ndustry,and,the,1ndustry,industry
2397,academe,111,jolntly,study,the,jolntly,jointly
2402,process,of,1nnovatlon,and,of,1nnovatlon,innovation
2405,and,of,expedltlng,the,process,expedltlng,expediting
2409,process,by,whlch,ne,1deas,whlch,which
2411,whlch,ne,1deas,are,transferred,1deas,ideas
2414,are,transferred,1nto,currlcula,or,1nto,into
2415,transferred,1nto,currlcula,or,marketable,currlcula,curricula
2422,work,of,thls,subcommlttee,15,thls,this
2423,of,thls,subcommlttee,15,now,subcommlttee,subcommittee
2427,now,focused,1n,three,areas:,1n,in
2431,areas:,College,-nd,High,School,-nd,and
2436,Teacher,Awards,Influenc-,on,Currlcula,Influenc-,Influence
2438,Influenc-,on,Currlcula,Interfac-,Conferences,Currlcula,Curricula
2439,on,Currlcula,Interfac-,Conferences,',Interfac-,Interface
2442,Conferences,',Colleg-,Awards;,Since,Colleg-,College
2450,honored,75,outstandlng,professors,of,outstandlng,outstanding
2453,professors,of,chemlstry,and,chemcal,chemlstry,chemistry
2455,chemlstry,and,chemcal,englneerlng.,As,chemcal,chemical
2456,and,chemcal,englneerlng.,As,one,englneerlng.,engineering.
2462,the,foremost,natlonal,awards,on,natlonal,national
2468,college,level,1n,the,v.5.,1n,in
2470,1n,the,v.5.,and,"Canada,",v.5.,U.S.
2476,program,has,attalned,prestlge,and,attalned,attained
2477,has,attalned,prestlge,and,15,prestlge,prestige
2480,and,15,consldered,by,many,consldered,considered
2485,r,cent,r-clplents,as,the,r-clplents,recipients
2488,as,the,plnnacle,of,thelr,plnnacle,pinnacle
2490,plnnacle,of,thelr,teachlng,careers.,thelr,their
2491,of,thelr,teachlng,careers.,In,teachlng,teaching
2496,"1972,",the,51x,medallsts,were,51x,six
2497,the,51x,medallsts,were,featured,medallsts,medalists
2500,were,featured,1n,3,cover,1n,in
2504,cover,study,1n,Chemlcal,and,1n,in
2505,study,1n,Chemlcal,and,Englneerlng,Chemlcal,Chemical
2507,Chemlcal,and,Englneerlng,News,an,Englneerlng,Engineering
2512,a,cover,headllne,1n,the,headllne,headline
2513,cover,headllne,1n,the,Journal,1n,in
2517,Journal,of,Chemlcal,Educatlon.,a,Chemlcal,Chemical
2518,of,Chemlcal,Educatlon.,a,flrst,Educatlon.,"Education,"
2520,Educatlon.,a,flrst,for,MCA,flrst,first
2523,for,MCA,1n,each,of,1n,in
2527,of,these,magazlnes.,In,"1972,",magazlnes.,magazines.
2531,"1972,",we,recelved,more,than,recelved,received
2538,and,processed,192,nomlnat,ons;,192,182
2566,1973,program.,V'IT,In,the,V'IT,V*IT
2574,we,conferred,Elva,college,awards,Elva,five
2582,of,the,reclplent.,s,Veral,reclplent.,recipient.
2584,reclplent.,s,Veral,of,you,Veral,veral
2591,at,these,ceremonles,and,contrlbuted,ceremonles,ceremonies
2593,ceremonles,and,contrlbuted,m,thls,contrlbuted,contributed
2595,contrlbuted,m,thls,new,dlmensl-n,thls,this
2597,thls,new,dlmensl-n,of,1ndustryieducatlon,dlmensl-n,dimension
2599,dlmensl-n,of,1ndustryieducatlon,contact.,A5,1ndustryieducatlon,industry-education
2601,1ndustryieducatlon,contact.,A5,a,result,A5,As
2607,these,campus,"ceremonles,",several,major,"ceremonles,","ceremonies,"
2610,several,major,1nst1tutlons,raievaluated,thelr,1nst1tutlons,institutions
2611,major,1nst1tutlons,raievaluated,thelr,programs,raievaluated,re-evaluated
2612,1nst1tutlons,raievaluated,thelr,programs,honorlng,thelr,their
2614,thelr,programs,honorlng,excellence,among,honorlng,honoring
2617,excellence,among,thelr,"faculty,",another,thelr,their
2622,plans,to,1n1tlate,an,honors,1n1tlate,initiate
2625,an,honors,convocatlon,and,another,convocatlon,convocation
2631,an,old,tradltln,and,gave,tradltln,tradition
2634,and,gave,publlc,notlce,of,publlc,public
2635,gave,publlc,notlce,of,the,notlce,notice
2642,commencement.,CMA,03517,a,Our,03517,036217
2675,school,teacher,mm,local,awards,mm,with
2679,awards,of,52m.,The,"program,",52m.,$200.
2682,The,"program,",admlnlstered,by,Chemlcal,admlnlstered,administered
2684,admlnlstered,by,Chemlcal,Industry,Councllq,Chemlcal,Chemical
2686,Chemlcal,Industry,Councllq,was,restrlcted,Councllq,"Councils,"
2688,Councllq,was,restrlcted,to,teachers,restrlcted,restricted
2691,to,teachers,Hlthln,the,locale,Hlthln,within
2696,of,the,councll.,In,"1973,",councll.,council.
2704,the,"program,",maklng,any,teacher,maklng,making
2707,any,teacher,1n,the,v.5.,1n,in
2709,1n,the,v.5.,and,Canada,v.5.,U.S.
2712,and,Canada,ellglble,for,a,ellglble,eligible
2715,for,a,regloal,award,of,regloal,regional
2718,award,of,5an,or,for,5an,$200
2723,the,new,natlonal,award,of,natlonal,national
2733,aroused,an,enthuslastlc,response.,To,enthuslastlc,enthusiastic
2743,requests,for,1nf-Imatlon,and,nomlnatlon,1nf-Imatlon,information
2745,1nf-Imatlon,and,nomlnatlon,toms.,Influen,nomlnatlon,nomination
2746,and,nomlnatlon,toms.,Influen,e,toms.,forms.
2774,on,the,1gh,school,and,1gh,high
2782,When,we,flrst,made,the,flrst,first
2785,made,the,"suggestlon,",our,message,"suggestlon,","suggestion,"
2789,message,went,unneeded,among,educators,unneeded,unheeded
2793,educators,who,1ntenslfled,the,theoretlcal,1ntenslfled,intensified
2795,1ntenslfled,the,theoretlcal,content,of,theoretlcal,theoretical
2808,"socletles,",major,chemlca,educatlon,conferences,chemlca,chemical
2809,major,chemlca,educatlon,conferences,and,educatlon,education
2814,educators,concur,mm,our,proposal.,mm,with
2837,theory.,In,1957,the,flrst,1957,"1967,"
2839,1957,the,flrst,tltle,1n,flrst,first
2840,the,flrst,tltle,1n,3,tltle,title
2841,flrst,tltle,1n,3,10,1n,in
2844,3,10,book.,Mczvsponsored,"""Chemlstry",book.,"book,"
2845,10,book.,Mczvsponsored,"""Chemlstry",1n,Mczvsponsored,MCA-sponsored
2846,book.,Mczvsponsored,"""Chemlstry",1n,Actlon,"""Chemlstry","""Chemistry"
2847,Mczvsponsored,"""Chemlstry",1n,Actlon,"Serles""",1n,in
2848,"""Chemlstry",1n,Actlon,"Serles""",was,Actlon,Action
2849,1n,Actlon,"Serles""",was,publlsh-d,"Serles""","Series"""
2851,"Serles""",was,publlsh-d,by,Doubleday.,publlsh-d,published
2857,books,related,practlcal,storles,and,practlcal,practical
2858,related,practlcal,storles,and,personal,storles,stories
2880,have,been,s-ld,m,enrlch,s-ld,sold
2882,s-ld,m,enrlch,hlgh,school,enrlch,enrich
2883,m,enrlch,hlgh,school,and,hlgh,high
2889,level,college,chemlstry,courses.,Elght,chemlstry,chemistry
2891,chemlstry,courses.,Elght,of,these,Elght,Eight
2894,of,these,tles,appear,1n,tles,titles
2896,tles,appear,1n,forelgn,language,1n,in
2897,appear,1n,forelgn,language,editions,forelgn,foreign
2900,language,editions,slmllar,m,thls,slmllar,similar
2902,slmllar,m,thls,Japanese,Verslon,thls,this
2904,thls,Japanese,Verslon,of,Water,Verslon,version
2909,5,Everybody's,"Buslness,",and,one,"Buslness,","Business,"
2912,and,one,tltle,1n,3,tltle,title
2913,one,tltle,1n,3,v.5.,1n,in
2915,1n,3,v.5.,Infomatlon,Servlce,v.5.,U.S.
2916,3,v.5.,Infomatlon,Servlce,edition,Infomatlon,Information
2917,v.5.,Infomatlon,Servlce,edition,1n,Servlce,Service
2919,Servlce,edition,1n,Ind,13.,1n,in
2927,of,the,Amerlcan,Chemlcal,Soclety,Amerlcan,American
2928,the,Amerlcan,Chemlcal,Soclety,now,Chemlcal,Chemical
2929,Amerlcan,Chemlcal,Soclety,now,publlshes,Soclety,Society
2931,Soclety,now,publlshes,the,serles.,publlshes,publishes
2933,publlshes,the,serles.,We,cooperate,serles.,series.
2936,We,cooperate,1n,enlistlng,authors,1n,in
2937,cooperate,1n,enlistlng,authors,and,enlistlng,enlisting
2940,authors,and,asslstlng,1n,the,asslstlng,assisting
2941,and,asslstlng,1n,the,preparatlon,1n,in
2943,1n,the,preparatlon,of,manuscrlpts,preparatlon,preparation
2945,preparatlon,of,manuscrlpts,.,Slnce,manuscrlpts,manuscripts
2947,manuscrlpts,.,Slnce,"951,",Holt.,Slnce,Since
2948,.,Slnce,"951,",Holt.,Rlnehard,"951,","1961,"
2949,Slnce,"951,",Holt.,Rlnehard,and,Holt.,"Holt,"
2950,"951,",Holt.,Rlnehard,and,Wlnston,Rlnehard,Rinehard
2952,Rlnehard,and,Wlnston,publlshed,four,Wlnston,Winston
2953,and,Wlnston,publlshed,four,MCAisponsored,publlshed,published
2955,publlshed,four,MCAisponsored,1nnovat1ve,labora-ory,MCAisponsored,MCA-sponsored
2956,four,MCAisponsored,1nnovat1ve,labora-ory,manuals,1nnovat1ve,innovative
2957,MCAisponsored,1nnovat1ve,labora-ory,manuals,for,labora-ory,laboratory
2966,More,than,"155,000",Copies,have,"155,000","165,000"
2969,Copies,have,ben,sold.,MCA,ben,been
2973,MCA,1:,wldely,known,and,wldely,widely
2978,esteemed,for,thls,servlce.,We,thls,this
2979,for,thls,servlce.,We,Will,servlce.,service.
2984,request,modest,fundlng,to,update,fundlng,funding
2991,these,manuals,1n,the,next,1n,in
2994,the,next,flscal,year.,We,flscal,fiscal
3036,the,ACS,"commltee,",summarlzed,and,"commltee,","committee,"
3037,ACS,"commltee,",summarlzed,and,submltted,summarlzed,summarized
3039,summarlzed,and,submltted,our,recommendatlons.,submltted,submitted
3041,submltted,our,recommendatlons.,In,the,recommendatlons.,recommendations.
3045,the,past,51x,"months,",the,51x,six
3048,"months,",the,Chln’nan,of,the,Chln’nan,chairman
3052,the,ACS,commlttee,acknowledged,our,commlttee,committee
3055,acknowledged,our,contrlbutlons,before,more,contrlbutlons,contributions
3060,than,300,Chalmn,of,college,Chalmn,chairmen
3063,of,college,chemlstry,departments,"and,",chemlstry,chemistry
3068,on,another,"occaslon,",before,more,"occaslon,","occasion,"
3073,than,450,educat-rs.,Interf.ce,Conferences;,educat-rs.,educators.
3074,450,educat-rs.,Interf.ce,Conferences;,We,Interf.ce,Interface
3077,Conferences;,We,1n1tlated,experlmental,and,1n1tlated,initiated
3078,We,1n1tlated,experlmental,and,1nnovat1ve,experlmental,experimental
3080,experlmental,and,1nnovat1ve,conferences,of,1nnovat1ve,innovative
3095,effectlveness,and,predlc,an,1ncreaslng,predlc,predict
3097,predlc,an,1ncreaslng,need,for,1ncreaslng,increasing
3100,need,for,thls,type,of,thls,this
3103,type,of,dlalog.,Members,of,dlalog.,dialog.
3107,of,the,subcommlttee,share,thelr,subcommlttee,subcommittee
3109,subcommlttee,share,thelr,-xp,rlence,thelr,their
3110,share,thelr,-xp,rlence,mm,-xp,exp
3111,thelr,-xp,rlence,mm,member,rlence,rience
3112,-xp,rlence,mm,member,companles,mm,with
3114,mm,member,companles,who,have,companles,companies
3117,who,have,organlzed,slmllar,sesslons.,organlzed,organized
3118,have,organlzed,slmllar,sesslons.,CMA,slmllar,similar
3119,organlzed,slmllar,sesslons.,CMA,03.219,sesslons.,sessions.
3121,sesslons.,CMA,03.219,in,7,03.219,036218
3124,in,7,FUEL]:,vmgnsmmms,017,FUEL]:,PUBLIC
3125,7,FUEL]:,vmgnsmmms,017,THE,vmgnsmmms,UNDERSTANDING
3126,FUEL]:,vmgnsmmms,017,THE,CHEMICAL,017,OF
3130,CHEMICAL,INDUSTRY,suscommmrm,The,t,suscommmrm,SUBCOMMITTEE
3144,promotes,gr,at.r,publlc,understandlng,at.r,ater
3145,gr,at.r,publlc,understandlng,of,publlc,public
3146,at.r,publlc,understandlng,of,the,understandlng,understanding
3149,of,the,chemlcal,1ndustry,through,chemlcal,chemical
3150,the,chemlcal,1ndustry,through,the,1ndustry,industry
3153,through,the,educatlonal,system.,Thelr,educatlonal,educational
3155,educatlonal,system.,Thelr,efforts,are,Thelr,Their
3158,efforts,are,dlrected,primarily,to,dlrected,directed
3162,to,the,nonisclence,student,and,nonisclence,non-science
3169,harbor,a,neg.t1ve,attltude,toward,neg.t1ve,negative
3170,a,neg.t1ve,attltude,toward,:echmcallymnented,attltude,attitude
3172,attltude,toward,:echmcallymnented,1ndustry.,Many,:echmcallymnented,technically-oriented
3180,m,be,"surE,",have,the,"surE,","sure,"
3183,have,the,nalvete,of,youth,nalvete,naivete
3188,but,share,mm,us,1n,mm,with
3190,mm,us,1n,1ndustry,a,1n,in
3191,us,1n,1ndustry,a,blgness,1ndustry,industry
3193,1ndustry,a,blgness,of,concern,blgness,bigness
3198,5,r,sclety.,Thelr,zeal,sclety.,society.
3199,r,sclety.,Thelr,zeal,and,Thelr,Their
3202,zeal,and,energles,seek,dlrectlon,energles,energies
3204,energles,seek,dlrectlon,toward,constructlve,dlrectlon,direction
3206,dlrectlon,toward,constructlve,as,well,constructlve,constructive
3224,our,contact,mm,hem,through,mm,with
3225,contact,mm,hem,through,1nterface,hem,them
3227,hem,through,1nterface,semlnars,1nd1cates,1nterface,interface
3228,through,1nterface,semlnars,1nd1cates,that,semlnars,seminars
3229,1nterface,semlnars,1nd1cates,that,they,1nd1cates,indicates
3234,have,done,thelr,homework,well,thelr,their
3238,well,but,oten,lack,an,oten,often
3241,lack,an,overmall,and,balanced,overmall,over-all
3244,and,balanced,Vlew,of,a,Vlew,view
3247,of,a,partlcular,problem.,They,partlcular,particular
3251,They,are,un*,1nfo,"ed,",un*,un­
3267,"However,",they,.re,open,and,.re,are
3275,and,change,thelr,attltudes.,The,thelr,their
3276,change,thelr,attltudes.,The,sbcommlttee,attltudes.,attitudes.
3278,attltudes.,The,sbcommlttee,coordlnates,1:5,sbcommlttee,subcommittee
3279,The,sbcommlttee,coordlnates,1:5,efforts,coordlnates,coordinates
3280,sbcommlttee,coordlnates,1:5,efforts,Hlth,1:5,its
3282,1:5,efforts,Hlth,Mrs.,Walton's,Hlth,with
3286,Walton's,Consumer,Infomatlon,Subcomlttee.,We,Infomatlon,Information
3287,Consumer,Infomatlon,Subcomlttee.,We,make,Subcomlttee.,Subcommittee.
3290,We,make,sultable,educatlon,materlals,sultable,suitable
3291,make,sultable,educatlon,materlals,avaliable,educatlon,education
3292,sultable,educatlon,materlals,avaliable,to,materlals,materials
3293,educatlon,materlals,avaliable,to,Mrs.,avaliable,available
3309,general,publlc,throuh,our,educatlon,throuh,through
3311,throuh,our,educatlon,channels.,on,educatlon,education
3315,on,three,occaslons,we,comblned,occaslons,occasions
3317,occaslons,we,comblned,the,Consumer,comblned,combined
3321,Consumer,Inf,matlon,and,Educatlon,matlon,rmation
3323,matlon,and,Educatlon,exhlblts,to,Educatlon,Education
3324,and,Educatlon,exhlblts,to,stretch,exhlblts,exhibits
3328,stretch,our,exmm:,dollars,and,exmm:,exhibit
3334,reach,new,audlences,c,sclnce,audlences,audiences
3336,audlences,c,sclnce,and,nonisclence,sclnce,science
3338,sclnce,and,nonisclence,orlented,publlcs.,nonisclence,non-science
3339,and,nonisclence,orlented,publlcs.,At,orlented,oriented
3340,nonisclence,orlented,publlcs.,At,the,publlcs.,publics.
3343,At,the,suggestlon,of,the,suggestlon,suggestion
3347,the,Consumer,Infomatlon,group,we,Infomatlon,Information
3350,group,we,publlshed,a,manual,publlshed,published
3355,of,Simple,chemlcal,demonstratlons,sultable,chemlcal,chemical
3356,Simple,chemlcal,demonstratlons,sultable,for,demonstratlons,demonstrations
3357,chemlcal,demonstratlons,sultable,for,the,sultable,suitable
3361,the,general,publl,and,have,publl,public
3367,manual,of,slmple,food,experlments,slmple,simple
3369,slmple,food,experlments,1n,the,experlments,experiments
3370,food,experlments,1n,the,rough,1n,in
3373,the,rough,manuscrlpt,Stags.,MCA'S,manuscrlpt,manuscript
3374,rough,manuscrlpt,Stags.,MCA'S,educatlon,Stags.,staga.
3375,manuscrlpt,Stags.,MCA'S,educatlon,exhlblt,MCA'S,MCA's
3376,Stags.,MCA'S,educatlon,exhlblt,provldes,educatlon,education
